0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:28:39 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:28:39 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:28:39 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:28:39 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:28:39 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:28:44 +0900] "GET /Ex0925_api/list.do?search_txt= HTTP/1.1" 500 1669
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:29:49 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:29:49 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:29:52 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:30:30 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:30:30 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:30:30 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:30:30 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:30:32 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:30:54 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:30:54 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:30:57 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:31:03 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:31:03 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:31:05 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:31:29 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:31:29 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:31:32 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:32:37 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:32:37 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:32:37 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:32:37 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:32:40 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:06 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:06 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:06 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:06 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:06 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:13 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:13 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:16 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:16 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:36 +0900] "GET /Ex0925_api/list.do?search_txt=%E3%85%81%E3%85%81%E3%85%81 HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:38 +0900] "GET /Ex0925_api/list.do?search_txt=%E3%85%81%E3%85%81%E3%85%81 HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:40 +0900] "GET /Ex0925_api/list.do?search_txt=%E3%85%88%E3%85%88 HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:37:58 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:38:20 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:38:20 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:38:22 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:38:26 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:38:54 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:38:54 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:38:54 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:38:56 +0900] "GET /Ex0925_api/list.do?search_txt=%E3%85%87 HTTP/1.1" 200 22817
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:38:59 +0900] "GET /Ex0925_api/list.do?search_txt=%E3%84%B4%E3%84%B4 HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:11 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:11 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:11 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:11 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:11 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:11 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:12 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:12 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:12 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:14 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:20 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:20 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:20 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:20 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:20 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/book_search.jsp?search_txt= HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:40:21 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
